Name,Price,Image,URL
SAMSUNG 11KG AI FRONT LOAD WASHING MACHINE: WW11CG604DLB,"KSh109,990.00",https://samsutech.net/wp-content/uploads/2026/02/Stylish-Designs-Accessories-for-Your-Beloved-Dog-1.png,https://samsutech.net/product/samsung-11kg-ai-front-load-washing-machine-ww11cg604dlb/
SAMSUNG AI WASHING MACHINE: WW10DG6U94LBN,"KSh99,990.00",https://samsutech.net/wp-content/uploads/2026/02/Stylish-Designs-Accessories-for-Your-Beloved-Dog.png,https://samsutech.net/product/samsung-ai-washing-machine-ww10dg6u94lbn/
SAMSUNG 22KG/11KG WASHER/DRYER: WD90F22BCSNQ,"KSh239,990.00",https://samsutech.net/wp-content/uploads/2025/12/Untitled-design.png,https://samsutech.net/product/samsung-22-kg-washer-dryer-wd90f22bcsnq/
SAMSUNG 65″ 4K UHD LED TV: UA65U8000FU,"KSh89,990.00",https://samsutech.net/wp-content/uploads/2025/10/Untitled-design.png,https://samsutech.net/product/samsung-65-4k-uhd-led-tv-ua65u8000fu/
SAMSUNG 100″ 4K NEO Q LED TV: QA100QN80FU,"KSh649,990.00",https://samsutech.net/wp-content/uploads/2025/09/images.jpg,https://samsutech.net/product/samsung-4k-neo-q-led-tv-qa100qn80fu/
SAMSUNG 83″ 4K QUANTUM HDR O LED TV : QA83S85FAE,"KSh549,990.00",https://samsutech.net/wp-content/uploads/2025/07/images.jpg,https://samsutech.net/product/samsung-83%e2%80%b3-4k-quantum-hdr-o-led-tv-qa83s85fae/
SAMSUNG 85″ 4K NEO Q LED TV SERIES 6 : QA85QN85FAU,"KSh399,990.00",https://samsutech.net/wp-content/uploads/2023/07/in-qled-qn85f-qa55qn85faulxl-545964846.png,https://samsutech.net/product/samsung-85-4k-neo-q-led-tv-series-6-qa85qn85fau/
SAMSUNG 26 KG WASHING MACHINE: WF90F26ADSNQ,"KSh189,990.00",https://samsutech.net/wp-content/uploads/2025/09/Untitled-design-3.png,https://samsutech.net/product/samsung-26-kg-washing-machine-wf90f26adsnq/
SAMSUNG 85″ 4K Q LED TV: QA85Q7FAAU,"KSh239,990.00",https://samsutech.net/wp-content/uploads/2023/06/Untitled-design-5.png,https://samsutech.net/product/samsung-85-4k-q-led-tv-qa85q7faau/
SAMSUNG CHEST FREEZER: RI70F37V2GAUT,"KSh79,990.00",https://samsutech.net/wp-content/uploads/2025/09/Untitled-design-2.png,https://samsutech.net/product/samsung-chest-freezer-ri70f37v2gaut/
SAMSUNG CHEST FREEZER: RI70F29V2GAUT,"KSh64,990.00",https://samsutech.net/wp-content/uploads/2025/09/Untitled-design-1.png,https://samsutech.net/product/samsung-chest-freezer-ri70f29v2gaut/
SAMSUNG CHEST FREEZER: RI70F20V2GAUT,"KSh49,990.00",https://samsutech.net/wp-content/uploads/2025/09/Untitled-design.png,https://samsutech.net/product/samsung-chest-freezer-ri70f20v2gaut/
SAMSUNG 55” Q LED TV: QA55Q7FAAU,"KSh79,990.00",https://samsutech.net/wp-content/uploads/2023/06/Untitled-design-5.png,https://samsutech.net/product/samsung-55-q-led-tv-qa55q7faau/
SAMSUNG 50” 4K UHD LED TV: UA50U8000FU,"KSh57,990.00",https://samsutech.net/wp-content/uploads/2025/06/samsung-ua75u8000fu-169039-v1-original-1.avif,https://samsutech.net/product/samsung-50-4k-uhd-led-tv-ua50u8000fu/
SAMSUNG 85″ Neo QLED 8K Smart TV: QA85QN900FU,"KSh699,990.00",https://samsutech.net/wp-content/uploads/2023/07/samsung-qa65qn900fu-168977-v1-original-1.avif,https://samsutech.net/product/samsung-85-neo-qled-8k-smart-tv-qa85qn900fu/
SAMSUNG 65″ 4K NEO Q LED TV: QA65QN85FAU,"KSh209,990.00",https://samsutech.net/wp-content/uploads/2023/07/in-qled-qn85f-qa55qn85faulxl-545964846.png,https://samsutech.net/product/samsung-65-4k-neo-q-led-tv-qa65qn85fau/
SAMSUNG 55″ 4K NEO QLED TV: QA55QN85FAU,"KSh169,990.00",https://samsutech.net/wp-content/uploads/2023/07/in-qled-qn85f-qa55qn85faulxl-545964846.png,https://samsutech.net/product/samsung-55-4k-neo-qled-tv-qa55qn85fau/
SAMSUNG 43” LED TV: UA43F6000FU,"KSh33,990.00",https://samsutech.net/wp-content/uploads/2025/07/Untitled-design-2.png,https://samsutech.net/product/samsung-43-led-tv-ua43f6000fu/
SAMSUNG 32” SMART LED TV: UA32H5000FU,"KSh23,990.00",https://samsutech.net/wp-content/uploads/2025/07/Untitled-design-1-1.png,https://samsutech.net/product/samsung-32-smart-led-tv-ua32h5000fu/
SAMSUNG 10KG FRONT LOAD WASHING MACHINE: WW10DG5U34ABNQ,"KSh94,990.00",https://samsutech.net/wp-content/uploads/2025/07/Untitled-design-1.png,https://samsutech.net/product/samsung-front-load-washing-machine-ww10dg5u34abnq/
SAMSUNG 55″ 4K Q LED TV: QA55Q8FAAU,"KSh89,990.00",https://samsutech.net/wp-content/uploads/2025/07/samsung-qa65q8faau-168904-v1-original-1.avif,https://samsutech.net/product/samsung-55-4k-q-led-tv-qa55q8faau/
Samsung 65 inch 4K OLED Vision AI TV QA65S85FAE,"KSh249,990.00",https://samsutech.net/wp-content/uploads/2025/07/Untitled-design.png,https://samsutech.net/product/samsung-65-inch-4k-oled-vision-ai-tv-qa65s85fae/
SAMSUNG 43″ 4K UHD LED TV: UA43U8000FU,"KSh44,990.00",https://samsutech.net/wp-content/uploads/2025/06/samsung-ua75u8000fu-169039-v1-original-1.avif,https://samsutech.net/product/samsung-4k-uhd-led-tv-ua43u8000fu/
SAMSUNG 85″ 4K QLED TV: QA85Q8FAAU,"KSh259,990.00",https://samsutech.net/wp-content/uploads/2025/07/samsung-qa65q8faau-168904-v1-original-1.avif,https://samsutech.net/product/samsung-85%e2%80%b3-4k-qled-tv-qa85q8faau/
SAMSUNG 75″ 4K QLED TV: QA75Q8FAAU,"KSh174,990.00",https://samsutech.net/wp-content/uploads/2025/07/samsung-qa65q8faau-168904-v1-original-1.avif,https://samsutech.net/product/samsung-75%e2%80%b3-4k-qled-tv-qa75q8faau/
SAMSUNG 65″ 4K QLED TV: QA65Q8FAAU,"KSh119,990.00",https://samsutech.net/wp-content/uploads/2025/07/samsung-qa65q8faau-168904-v1-original-1.avif,https://samsutech.net/product/samsung-4k-qled-tv-qa65q8faau/
SAMSUNG 75″ 8K Q LED TV: QA75QN900FU,"KSh529,990.00",https://samsutech.net/wp-content/uploads/2023/07/samsung-qa65qn900fu-168977-v1-original-1.avif,https://samsutech.net/product/samsung-75-8k-neo-q-led-tv-qa75qn800du/
SAMSUNG 65″ 8K Q LED TV: QA65QN900FU,"KSh349,990.00",https://samsutech.net/wp-content/uploads/2023/07/samsung-qa65qn900fu-168977-v1-original-1.avif,https://samsutech.net/product/samsung-65-8k-q-led-tv-qa65qn900fu/
SAMSUNG 75” 4K Q LED TV: QA75Q7FAAU,"KSh159,990.00",https://samsutech.net/wp-content/uploads/2025/06/81LOXgmvLeL._AC_SL1500_.jpg,https://samsutech.net/product/samsung-75-4k-q-led-tv-qa75q7faau/
SAMSUNG 65” 4K Q LED TV: QA65Q7FAAU,"KSh104,990.00",https://samsutech.net/wp-content/uploads/2025/06/81LOXgmvLeL._AC_SL1500_.jpg,https://samsutech.net/product/samsung-65-4k-q-led-tv-qa65q7faau/
SAMSUNG 75” 4K UHD LED TV: UA75U8000FU,"KSh129,990.00",https://samsutech.net/wp-content/uploads/2025/06/samsung-ua75u8000fu-169039-v1-original-1.avif,https://samsutech.net/product/samsung-4k-uhd-led-tv-ua75u8000fu/
SAMSUNG 627LITRES SIDE BY SIDE REFRIGERATOR: RS80F65G3FUT,"KSh329,990.00",https://samsutech.net/wp-content/uploads/2025/06/Untitled-design-4.png,https://samsutech.net/product/samsung-side-by-side-refrigerator-rs80f65g3fut/
SAMSUNG 634LITRES SIDE BY SIDE REFRIGERATOR: RS80F65J3FUT,"KSh289,990.00",https://samsutech.net/wp-content/uploads/2025/06/RS80F65J1FSH_003_R-Perspective_Black-DOI.png,https://samsutech.net/product/samsung-side-by-side-refrigerator-rs80f65j3fut/
SAMSUNG 635LITRES SIDE BY SIDE REFRIGERATOR: RS70F65K3TUT,"KSh254,990.00",https://samsutech.net/wp-content/uploads/2025/06/Untitled-design-6.png,https://samsutech.net/product/samsung-side-by-side-refrigerator-rs70f65k3tut/
SAMSUNG 655LITRES SIDE BY SIDE REFRIGERATOR: RS70F65Q3TUT,"KSh209,990.00",https://samsutech.net/wp-content/uploads/2025/06/Untitled-design-1-1.png,https://samsutech.net/product/samsung-side-by-side-refrigerator-rs70f65q3tut/
SAMSUNG DOUBLE DOOR REFRIGERATOR: RT53DG7B60SL,"KSh154,990.00",https://samsutech.net/wp-content/uploads/2023/06/Untitled-design-10.png,https://samsutech.net/product/samsung-double-door-refrigerator-rt53dg7b60sl/
SAMSUNG DOUBLE DOOR REFRIGERATOR: RT53DG7B60B1,"KSh159,990.00",https://samsutech.net/wp-content/uploads/2023/09/africa-en-rt6000k-top-freezer-with-twin-cooling-plus™-526l-393754-rt53k6541bs-ut-463415642.avif,https://samsutech.net/product/samsung-double-door-refrigerator-rt53dg7b60b1/
"SAMSUNG 75″ 4K NEO Q LED, DBU SERIES 8, NQ4 AI GEN2 SMART DIGITAL: QA75QN85DBU","KSh269,990.00",https://samsutech.net/wp-content/uploads/2025/02/au-qled-qn85d-qa75qn85dbwxxy-540641764.avif,https://samsutech.net/product/samsung-75-4k-neo-q-led-dbu-series-8-nq4-ai-gen2-smart-digital-qa75qn85dbu/
SAMSUNG 85″ LED TV: UA85U8000FU,"KSh199,990.00",https://samsutech.net/wp-content/uploads/2025/10/Untitled-design.png,https://samsutech.net/product/samsung-85-led-tv-ua85u8000fu/
SAMSUNG 583LTR SIDE BY SIDE REFRIGERATOR: RS57DG4000M9,"KSh149,990.00",https://samsutech.net/wp-content/uploads/2024/12/sa-en-rs4000dc-side-by-side-with-large-capacity-rs57dg4000m9za-543450046.avif,https://samsutech.net/product/samsung-583ltr-side-by-side-refrigerator-rs57dg4000m9/
SAMSUNG 430W 3.1 CH SOUND BAR : HW-B650D/KE,"KSh49,990.00",https://samsutech.net/wp-content/uploads/2023/06/africa-en-b-series-soundbar-hw-b650d-hw-b650d-ke-542704116.avif,https://samsutech.net/product/samsung-430w-3-1-ch-sound-bar-hw-b650d-ke/
SAMSUNG SOLO MICROWAVE: MS23DG4504AT,"KSh18,990.00",https://samsutech.net/wp-content/uploads/2024/11/Untitled-design-5-1.png,https://samsutech.net/product/samsung-solo-microwave-ms23dg4504at/
SAMSUNG SOLO MICROWAVE: MS23K3515AS,"KSh16,990.00",https://samsutech.net/wp-content/uploads/2024/11/Untitled-design-8.png,https://samsutech.net/product/samsung-solo-microwave-ms23k3513as/
SAMSUNG 11KG/6KG FRONT LOAD WASHER/DRYER: WD11DG5B15BB,"KSh124,990.00",https://samsutech.net/wp-content/uploads/2024/10/uk-wd5000d-515792-wd11dg5b15bbeu-542584014.webp,https://samsutech.net/product/samsung-11kg-front-load-washer-6kg-dryer-wd11dg5b15bb/
SAMSUNG 9.2L FREESTANDING DISHWASHER WITH 14 PLACE SETTING: DW60BG750FSL,"KSh139,990.00",https://samsutech.net/wp-content/uploads/2024/09/uk-60cm-built-in-dishwasher-dw60bg750uslet-dw60bg750fsleu-536849002.avif,https://samsutech.net/product/samsung-9-2l-freestanding-dishwasher-dw60bg750fsl/
SAMSUNG 9.2L FREESTANDING DISHWASHER WITH 13 PLACE SETTING: DW60BG730FSL,"KSh124,990.00",https://samsutech.net/wp-content/uploads/2024/09/uk-60cm-fully-built-in-dishwasher-dw60bg730fsleu-536847416-1.avif,https://samsutech.net/product/samsung-9-2l-freestanding-dishwasher-dw60bg730fsl/
SAMSUNG 11KG/6KG FRONT LOAD WASHER/DRYER: WD11DB7B85GB,"KSh129,990.00",https://samsutech.net/wp-content/uploads/2024/08/uk-wd7400d-wd11db7b85gbu1-542320588-1.avif,https://samsutech.net/product/samsung-11kg-front-load-washer-dryer-wd11db7b85gb/
SAMSUNG 98″ 4K UHD LED TV: UA98DU9000,"KSh399,990.00",https://samsutech.net/wp-content/uploads/2024/08/DU8000-Image.png,https://samsutech.net/product/samsung-98-4k-uhd-led-tv-ua98du9000/
SAMSUNG 208LTR DOUBLE DOOR REFRIGERATOR : RT26HAR2DSA,"KSh62,990.00",https://samsutech.net/wp-content/uploads/2023/06/africa_en-top-mount-freezer-rt28k3082s8-rt22k3082s8-ut-001-front-silver.webp,https://samsutech.net/product/top-mount-freezer-refrigerator-rt-26har2dsa/
SAMSUNG 233LTR DOUBLE DOOR REFRIGERATOR : RT28K3032S8,"KSh67,990.00",https://samsutech.net/wp-content/uploads/2023/06/africa_en-top-mount-freezer-rt28k3082s8-rt22k3082s8-ut-001-front-silver.webp,https://samsutech.net/product/top-mount-freezer-refrigerator-rt-28k3032s8/
SAMSUNG 98″ 4K Q LED TV SERIES 8 : QA98Q80CAU,"KSh499,990.00",https://samsutech.net/wp-content/uploads/2023/09/Q60D-Image.png,https://samsutech.net/product/samsung-4k-qled-tv-qa98q80cau/
SAMSUNG 77″ 4K QUANTUM HDR O LED TV : QA77S90DAE,"KSh479,990.00",https://samsutech.net/wp-content/uploads/2023/09/S90D-Image.png,https://samsutech.net/product/samsung-77-4k-quantum-hdr-o-led-tv-qa77s90dae/
SAMSUNG 18.5KG/9.5KG BESPOKE FRONT LOAD WASHER/DRYER: WD18B6400KV,"KSh234,990.00",https://samsutech.net/wp-content/uploads/2023/09/ae-washers-and-dryerswasher-dryer-combowd6000bk-21kg-black-wd21b6400kv-sp-wd18b6400kv-gu-536455123.png,https://samsutech.net/product/samsung-bespoke-front-load-washer-dryer-wd18b6400kv/
SAMSUNG 17KG/10KG FRONT LOAD WASHER/DRYER: WD17T6300GP,"KSh214,990.00",https://samsutech.net/wp-content/uploads/2023/09/my-wd6000t-wd22t6500gvco-431584-wd17t6300gp-sp-533231100.webp,https://samsutech.net/product/samsung-front-load-washer-dryer-wd17t6300gp/
SAMSUNG 12KG/8KG BESPOKE FRONT LOAD WASHER/DRYER: WD12BB944DGB,"KSh176,990.00",https://samsutech.net/wp-content/uploads/2023/09/sg-wd9400b-wd12bb944dgbsp-536404995.avif,https://samsutech.net/product/bespoke-washer-dryer-combo-with-auto-dispense-black-wd12bb944dgb/
SAMSUNG 12KG BESPOKE FRONT LOAD WASHING MACHINE : WW12BB944DGM,"KSh152,990.00",https://samsutech.net/wp-content/uploads/2023/09/Stylish-Designs-Accessories-for-Your-Beloved-Dog-2.png,https://samsutech.net/product/samsung-12kg-bespoke-front-load-washer-white-ww12bb944dgmnq/
SAMSUNG 3.1.2 CHANNEL SOUND BAR: HW-Q600C/ZN,"KSh64,990.00",https://samsutech.net/wp-content/uploads/2024/06/61uP6zSZ4VL._AC_SL1500_.jpg,https://samsutech.net/product/samsung-3-1-2-channel-sound-bar-hw-q600c-zn/
SAMSUNG 9KG/6KG FRONT LOAD WASHER/DRYER: WD90T554DBN,"KSh114,990.00",https://samsutech.net/wp-content/uploads/2023/06/africa-en-combo-wd80t554dbws3-wd90t554dbn-nq-422962436.webp,https://samsutech.net/product/front-load-washing-machine-dryer-wd90t554dbn/
SAMSUNG 32LTR CONVECTION MICROWAVE OVEN: MC32DG7646CK,"KSh39,990.00",https://samsutech.net/wp-content/uploads/2023/06/Untitled-design-1-3.png,https://samsutech.net/product/samsung-32ltr-convection-microwave-oven-mc32dg7646ck/
SAMSUNG 40LTR GRILL MICROWAVE OVEN: MG40DG5525AG,"KSh30,990.00",https://samsutech.net/wp-content/uploads/2023/06/Untitled-design-8-1.png,https://samsutech.net/product/samsung-40ltr-grill-microwave-oven-mg40dg5525ag/
SAMSUNG 23L GRILL MICROWAVE: MG23K3575AK,"KSh21,990.00",https://samsutech.net/wp-content/uploads/2023/06/Untitled-design-4-1.png,https://samsutech.net/product/samsung-23l-grill-microwave-mg23k3575ak/
SAMSUNG 30LTR BESPOKE GRILL MICROWAVE OVEN : MG30T5018AK,"KSh27,990.00",https://samsutech.net/wp-content/uploads/2023/06/Untitled-design-7-1.png,https://samsutech.net/product/bespoke-grill-microwave-oven-mg-30t5018ak/
SAMSUNG 90*60CM 5 GAS (1 WOK) FREE STANDING COOKER : NY90T5010SS,"KSh119,990.00",https://samsutech.net/wp-content/uploads/2023/06/Untitled-design-7.png,https://samsutech.net/product/free-standing-cooker-ny90t5010ss/
SAMSUNG 40LTR GRILL MICROWAVE OVEN: MG40DG5524AT,"KSh29,990.00",https://samsutech.net/wp-content/uploads/2023/06/Untitled-design-2-3.png,https://samsutech.net/product/samsung-40ltr-grill-microwave-oven-mg40dg5524at/
SAMSUNG 320LTR DOUBLE DOOR REFRIGERATOR WITH DISPENSER : RB30J3611SA,"KSh99,990.00",https://samsutech.net/wp-content/uploads/2023/06/za-bottom-freezer-303l-rb30j3611sa-fa-536308508.avif,https://samsutech.net/product/bottom-mount-freezer-refrigerator-rb-30j3611sa/
SAMSUNG 338LTR DOUBLE DOOR REFRIGERATOR WITH DISPENSER : RB33J3611S9,"KSh104,990.00",https://samsutech.net/wp-content/uploads/2023/06/za-bottom-freezer__rbf310g-3050-rb33j3611s9-fa-536308960.avif,https://samsutech.net/product/bottom-mount-freezer-refrigerator-rb-33j3611s9/
SAMSUNG 348LTR BESPOKE TOP MOUNT REFRIGERATOR : RT35CB56218A,"KSh97,990.00",https://samsutech.net/wp-content/uploads/2023/06/africa-en-top-mount-freezer-bespoke-rt35cb56218aut-537747407.avif,https://samsutech.net/product/bespoke-top-mount-freezer-refrigerator-rt-35cb56218a/
SAMSUNG 32LTR GRILL MICROWAVE OVEN: MG32DG4524AG,"KSh26,990.00",https://samsutech.net/wp-content/uploads/2023/06/Untitled-design-6-1.png,https://samsutech.net/product/samsung-32ltr-grill-microwave-oven-mg32dg4524ag/
SAMSUNG 393LTR BESPOKE TOP MOUNT REFRIGERATOR : RT38CB66218C,"KSh107,990.00",https://samsutech.net/wp-content/uploads/2023/06/africa-en-top-mount-freezer-bespoke-design-rt38cb66218cut-537743843.png,https://samsutech.net/product/bespoke-top-mount-freezer-refrigerator-rt-38cb66218c/
SAMSUNG 465LTR BESPOKE TOP MOUNT REFRIGERATOR : RT-47CB663122,"KSh134,990.00",https://samsutech.net/wp-content/uploads/2023/06/africa-en-top-mount-freezer-bespoke-design-rt47cb663122ut-537746587.png,https://samsutech.net/product/bespoke-top-mount-freezer-refrigerator-rt-47cb663122/
SAMSUNG 233LTR DOUBLE DOOR COOLWALL REFRIGERATOR : RT28K3082S8,"KSh69,990.00",https://samsutech.net/wp-content/uploads/2023/06/africa_en-top-mount-freezer-rt28k3082s8-rt22k3082s8-ut-001-front-silver.webp,https://samsutech.net/product/top-mount-freezer-refrigerator-rt-28k3082s8/
SAMSUNG 253LTR DOUBLE DOOR COOLWALL REFRIGERATOR : RT31K3082S8,"KSh75,990.00",https://samsutech.net/wp-content/uploads/2023/06/africa_en-top-mount-freezer-rt31k3082s8-rt25k3082s8-ut-001-front-silver.png,https://samsutech.net/product/top-mount-freezer-refrigerator-rt-31k3082s8/
SAMSUNG 305LTR DOUBLE DOOR REFRIGERATOR : RT31CG5421S9,"KSh86,990.00",https://samsutech.net/wp-content/uploads/2023/06/africa-en-top-mount-freezer-spacemax-rt35cg5421s9ut-537754363-1.png,https://samsutech.net/product/top-mount-freezer-refrigerator-rt-31cg5421s9/
SAMSUNG 348LTR DOUBLE DOOR REFRIGERATOR : RT35CG5421S9,"KSh97,990.00",https://samsutech.net/wp-content/uploads/2023/06/africa-en-top-mount-freezer-spacemax-rt35cg5421s9ut-537754363.png,https://samsutech.net/product/top-mount-freezer-refrigerator-rt-35cg5421s9/
SAMSUNG 393LTR DOUBLE DOOR REFRIGERATOR : RT38CG6421S9,"KSh104,990.00",https://samsutech.net/wp-content/uploads/2023/06/africa-en-top-mount-freezer-optimal-fresh-and-space-max-473999-rt47cg6631s9ut-537753465.avif,https://samsutech.net/product/top-mount-freezer-refrigerator-rt-38cg6421s9/
SAMSUNG 393LTR DOUBLE DOOR REFRIGERATOR : RT38CG6421B1,"KSh107,990.00",https://samsutech.net/wp-content/uploads/2023/06/africa-en-top-mount-freezer-optimal-fresh-and-space-max-rt47cg6631b1ut-537747848.avif,https://samsutech.net/product/top-mount-freezer-refrigerator-rt-38cg6421b1/
SAMSUNG 415LTR DOUBLE DOOR REFRIGERATOR : RT42CG6621S9,"KSh109,990.00",https://samsutech.net/wp-content/uploads/2023/06/Untitled-design-3.png,https://samsutech.net/product/top-mount-freezer-refrigerator-rt-42cg6621s9/
SAMSUNG 415LTR DOUBLE DOOR REFRIGERATOR : RT42CG6621B1,"KSh109,990.00",https://samsutech.net/wp-content/uploads/2023/06/Untitled-design-4.png,https://samsutech.net/product/top-mount-freezer-refrigerator-rt-42cg6621b1/
SAMSUNG 465LTR DOUBLE DOOR REFRIGERATOR : RT47CG6631S9,"KSh119,990.00",https://samsutech.net/wp-content/uploads/2023/06/Untitled-design-2-1.png,https://samsutech.net/product/top-mount-freezer-refrigerator-rt-47cg6631s9/
SAMSUNG 465LTR DOUBLE DOOR REFRIGERATOR : RT47CG6631B1,"KSh119,990.00",https://samsutech.net/wp-content/uploads/2023/06/Untitled-design-1-1.png,https://samsutech.net/product/top-mount-freezer-refrigerator-rt-47cg6631b1/
SAMSUNG 618LTR DOUBLE DOOR REFRIGERATOR WITH DISPENSER : RT85K7111BS,"KSh209,990.00",https://samsutech.net/wp-content/uploads/2023/06/africa-en-rt7000k-top-freezer-with-twin-cooling-plus™-618l-rt62k7111bs-ut-463415942.png,https://samsutech.net/product/top-mount-freezer-refrigerator-rt-85k7111bs/
SAMSUNG 635LTR SIDE BY SIDE REFRIGERATOR WITH DISPENSER : RS64R5311B4,"KSh289,990.00",https://samsutech.net/wp-content/uploads/2023/06/africa-en-ref-sbs-rs5000-rs64r5311b4-ut-399732297.avif,https://samsutech.net/product/side-by-side-refrigerator-rs64r5311b4/
SAMSUNG 635LTR SIDE BY SIDE REFRIGERATOR WITH DISPENSER : RS64R53112A,"KSh329,990.00",https://samsutech.net/wp-content/uploads/2023/06/africa-en-side-by-side-rs64r53112a-rs64r53112a-ut-Mirror-Black-188348985.avif,https://samsutech.net/product/side-by-side-refrigerator-rs64r53112a-2/
SAMSUNG 55″ 4K UHD LED TV SERIES 8  : UA55U8000FU,"KSh63,990.00",https://samsutech.net/wp-content/uploads/2023/06/Untitled-design-46.png,https://samsutech.net/product/samsung-55%e2%80%b3-4k-uhd-led-tv-series-8-ua55u8000fu/
SAMSUNG BUILT IN HOOD: NK24N7060VB,"KSh64,990.00",https://samsutech.net/wp-content/uploads/2024/06/S300871445_1.jpg,https://samsutech.net/product/samsung-built-in-hood-nk24n7060vb/
SAMSUNG BUILT IN HOOD: NK24M7060VW,"KSh69,990.00",https://samsutech.net/wp-content/uploads/2024/06/S300871442_1.jpg,https://samsutech.net/product/samsung-built-in-hood-nk24m7060vw/
SAMSUNG BUILT IN HOB: NA64N7100AB,"KSh39,990.00",https://samsutech.net/wp-content/uploads/2024/06/S300871444_3.jpg,https://samsutech.net/product/samsung-built-in-hob-na64n7100ab/
SAMSUNG BUILT IN HOB: NA64B3100AS,"KSh26,990.00",https://samsutech.net/wp-content/uploads/2024/06/Samsung-NA64H3110AS-TR-4-Burner-Gas-Built-in-Cooker-NA64B3100AS.jpg,https://samsutech.net/product/samsung-built-in-hob-na64b3100as/
SAMSUNG BUILT IN OVEN: NV60K5140BB,"KSh54,990.00",https://samsutech.net/wp-content/uploads/2023/06/Samsung-Oven-NV60K5140BB.png,https://samsutech.net/product/samsung-built-in-oven-nv60k5140bb/
SAMSUNG BUILT IN OVEN: NV60K3110BS,"KSh44,990.00",https://samsutech.net/wp-content/uploads/2023/06/Samsung-Oven-NV60K3110BS-T.png,https://samsutech.net/product/samsung-built-in-oven-nv60k3110bs/
SAMSUNG 32LTR SOLO MICROWAVE OVEN: MS32DG4504AT,"KSh24,990.00",https://samsutech.net/wp-content/uploads/2023/06/Untitled-design-3-2.png,https://samsutech.net/product/samsung-solo-microwave-oven-ms32dg4504at/
SAMSUNG 11KG FRONT LOAD WASHING MACHINE: WW11CGC04DAB,"KSh104,990.00",https://samsutech.net/wp-content/uploads/2023/05/Untitled-design.png,https://samsutech.net/product/samsung-11kg-front-load-washing-machine-ww11cgc04dab/
SAMSUNG 9KG DRYER : DV90TA040AX,"KSh94,990.00",https://samsutech.net/wp-content/uploads/2022/11/Untitled-design-5.png,https://samsutech.net/product/samsung-9kg-dryer-dv90ta040ax/
